PMCID,PMID,doi,year,title,journal,topic,file,license
PMC10475591,37670768,10.3389/fphys.2023.1195502,2023.0,Physical model of end-diastolic and end-systolic pressure-volume relationships of a heart.,Frontiers in physiology,CardioMetabolic,oa_package/ed/ef/PMC10475591.tar.gz,CC BY
PMC10057499,36991723,10.3390/s23063012,2023.0,Dynamic Vascular Imaging Using Active Breast Thermography.,"Sensors (Basel, Switzerland)",CardioMetabolic,oa_package/7e/19/PMC10057499.tar.gz,CC BY
PMC6744374,29275533,10.1007/s12020-017-1480-5,2018.0,Correction to: Insulin and osteocalcin: further evidence for a mutual cross-talk.,Endocrine,CardioMetabolic,oa_package/75/99/PMC6744374.tar.gz,CC BY
PMC11127177,38800835,10.1016/j.ajpc.2024.100681,2024.0,Haptoglobin phenotype and intensive glycemic control for coronary artery disease risk reduction in people with type two diabetes: The Veterans Affairs Diabetes Trial.,American journal of preventive cardiology,CardioMetabolic,oa_package/0f/09/PMC11127177.tar.gz,CC BY-NC
PMC8802041,35146474,10.1016/j.lanepe.2022.100308,2022.0,Impact of socioeconomic position on initiation of SGLT-2 inhibitors or GLP-1 receptor agonists in patients with type 2 diabetes - a Danish nationwide observational study.,The Lancet regional health. Europe,CardioMetabolic,oa_package/84/16/PMC8802041.tar.gz,CC BY-NC-ND
PMC10324265,37415177,10.1186/s13098-023-01073-2,2023.0,"Effect of bromocriptine on glycemic control, risk of cardiovascular diseases and weight in patients with type 2 diabetes: a systematic review.",Diabetology & metabolic syndrome,CardioMetabolic,oa_package/dd/be/PMC10324265.tar.gz,CC BY
PMC10208926,37251822,10.1016/j.heliyon.2023.e16137,2023.0,Green-synthesized nanoparticles of the polyherbal extract attenuate the necrosis of pancreatic β-cell in a streptozotocin-induced diabetic model.,Heliyon,CardioMetabolic,oa_package/eb/5d/PMC10208926.tar.gz,CC BY-NC-ND
PMC8148490,33934089,10.18632/aging.202948,2021.0,Internal modulation of proteolysis in vascular extracellular matrix remodeling: role of ADAM metallopeptidase with thrombospondin type 1 motif 5 in the development of intracranial aneurysm rupture.,Aging,CardioMetabolic,oa_package/f9/81/PMC8148490.tar.gz,CC BY
PMC11000826,38590442,10.1155/2023/8883199,2023.0,Initial Insights into the Genetic Variation Associated with Metformin Treatment Failure in Youth with Type 2 Diabetes.,Pediatric diabetes,CardioMetabolic,oa_package/40/94/PMC11000826.tar.gz,CC BY
PMC9098612,35089541,10.1007/s40618-022-01744-3,2022.0,Osteocalcin-expressing endothelial progenitor cells and serum osteocalcin forms are independent biomarkers of coronary atherosclerotic disease severity in male and female patients.,Journal of endocrinological investigation,CardioMetabolic,oa_package/c4/86/PMC9098612.tar.gz,CC BY
PMC11702121,39757236,10.1186/s13098-024-01541-3,2025.0,Effects of exercise intensity and diet on cardiac tissue structure and FGF21/β-Klotho signaling in type 2 diabetic mice: a comparative study of HFD and HFD + STZ induced type 2 diabetes models in mice.,Diabetology & metabolic syndrome,CardioMetabolic,oa_package/1d/48/PMC11702121.tar.gz,CC BY-NC-ND
PMC8244432,34223318,10.1016/j.resplu.2020.100043,2020.0,Willingness to perform bystander cardiopulmonary resuscitation: A scoping review.,Resuscitation plus,CardioMetabolic,oa_package/1d/ba/PMC8244432.tar.gz,CC BY-NC-ND
PMC11402645,39286488,10.1016/j.isci.2024.110609,2024.0,Complex sphingolipid profiling and identification of an inositol-phosphorylceramide synthase in Dictyostelium discoideum.,iScience,CardioMetabolic,oa_package/93/7e/PMC11402645.tar.gz,CC BY-NC-ND
PMC9973343,36715540,10.1128/mbio.02663-22,2023.0,Identification of Gut Microbial Lysine and Histidine Degradation and CYP-Dependent Metabolites as Biomarkers of Fatty Liver Disease.,mBio,CardioMetabolic,oa_package/74/d2/PMC9973343.tar.gz,CC BY
PMC11545882,39518743,10.3390/jcm13216605,2024.0,Cerebral Overperfusion Despite Reduced Cortical Metabolism Is Associated with Postoperative Delirium in Cardiac Surgery Patients: A Prospective Observational Study.,Journal of clinical medicine,CardioMetabolic,oa_package/02/5c/PMC11545882.tar.gz,CC BY
PMC11391602,39261922,10.1186/s12933-024-02429-2,2024.0,Mendelian randomization analysis reveals causal effects of blood lipidome on gestational diabetes mellitus.,Cardiovascular diabetology,CardioMetabolic,oa_package/d5/3e/PMC11391602.tar.gz,CC BY-NC-ND
PMC8812435,35012325,10.1161/CIRCRESAHA.121.318836,2022.0,Epigenetic Regulation of F2RL3 Associates With Myocardial Infarction and Platelet Function.,Circulation research,CardioMetabolic,oa_package/c5/c7/PMC8812435.tar.gz,CC BY
PMC7524330,31564204,10.1080/19490976.2019.1667724,2019.0,Insights from pharmacokinetic models of host-microbiome drug metabolism.,Gut microbes,CardioMetabolic,oa_package/a4/0c/PMC7524330.tar.gz,CC BY-NC-ND
PMC8421159,34497657,10.1155/2021/5301942,2021.0,Cornuside Alleviates Diabetes Mellitus-Induced Testicular Damage by Modulating the Gut Microbiota.,Evidence-based complementary and alternative medicine : eCAM,CardioMetabolic,oa_package/34/90/PMC8421159.tar.gz,CC BY
PMC11221358,38962472,10.3389/ti.2024.12445,2024.0,European Society for Organ Transplantation (ESOT) Consensus Statement on the Use of Non-invasive Biomarkers for Cardiothoracic Transplant Rejection Surveillance.,Transplant international : official journal of the European Society for Organ Transplantation,CardioMetabolic,oa_package/ab/b7/PMC11221358.tar.gz,CC BY
PMC10371235,37159276,10.1172/jci.insight.169541,2023.0,Heterogeneity in the effect of marked weight loss on metabolic function in women with obesity.,JCI insight,CardioMetabolic,oa_package/0a/40/PMC10371235.tar.gz,CC BY
PMC7431513,32804263,10.1186/s13244-020-00897-0,2020.0,The value of 2D speckle-tracking strain echocardiography in evaluating the relationship between carotid elasticity and left ventricular systolic function in patients with diabetic nephropathy.,Insights into imaging,CardioMetabolic,oa_package/eb/16/PMC7431513.tar.gz,CC BY
PMC5893891,29588269,10.2196/jmir.8666,2018.0,"Developing a Shared Patient-Centered, Web-Based Medication Platform for Type 2 Diabetes Patients and Their Health Care Providers: Qualitative Study on User Requirements.",Journal of medical Internet research,CardioMetabolic,oa_package/7c/52/PMC5893891.tar.gz,CC BY
PMC9835817,36694888,10.17925/EE.2022.18.2.106,2022.0,Clinical Evidence and Proposed Mechanisms for Cardiovascular and Kidney Benefits from Sodium-Glucose Co-transporter-2 Inhibitors.,TouchREVIEWS in endocrinology,CardioMetabolic,oa_package/31/32/PMC9835817.tar.gz,CC BY
PMC10207742,37221589,10.1186/s12903-023-03017-8,2023.0,Oral health-related quality of life and oral manifestations of Syrian children with congenital heart disease: a case-control study.,BMC oral health,CardioMetabolic,oa_package/c9/bc/PMC10207742.tar.gz,CC BY
PMC10012155,36992775,10.3389/fcdhc.2022.831128,2022.0,Elevated ACE Levels Indicate Diabetic Nephropathy Progression or Companied Retina Impaired.,Frontiers in clinical diabetes and healthcare,CardioMetabolic,oa_package/e6/8a/PMC10012155.tar.gz,CC BY
PMC11208495,38939337,10.3389/fonc.2024.1378095,2024.0,Development of prognostic signatures and risk index related to lipid metabolism in ccRCC.,Frontiers in oncology,CardioMetabolic,oa_package/e1/7f/PMC11208495.tar.gz,CC BY
PMC9604681,36294974,10.3390/life12101539,2022.0,Herbal Cannabis Use Is Not Associated with Changes in Levels of Endocannabinoids and Metabolic Profile Alterations among Older Adults.,"Life (Basel, Switzerland)",CardioMetabolic,oa_package/da/af/PMC9604681.tar.gz,CC BY
PMC10839558,38318314,10.1016/j.crfs.2024.100687,2024.0,Unraveling the role of serum metabolites in the relationship between plant-based diets and bone health in community-dwelling older adults.,Current research in food science,CardioMetabolic,oa_package/15/44/PMC10839558.tar.gz,CC BY-NC-ND
PMC6796376,31641377,10.3892/etm.2019.8054,2019.0,Outcome prediction for patients with anterior circulation acute ischemic stroke following endovascular treatment: A single-center study.,Experimental and therapeutic medicine,CardioMetabolic,oa_package/ff/84/PMC6796376.tar.gz,CC BY-NC-ND
PMC7767467,33371392,10.3390/antiox9121308,2020.0,Whole-Body Cryostimulation Improves Inflammatory Endothelium Parameters and Decreases Oxidative Stress in Healthy Subjects.,"Antioxidants (Basel, Switzerland)",CardioMetabolic,oa_package/23/ff/PMC7767467.tar.gz,CC BY
PMC11666145,39705476,10.1097/MD.0000000000040974,2024.0,Association between cathepsins and cardiomyopathy: A Mendelian randomization study.,Medicine,CardioMetabolic,oa_package/f1/ad/PMC11666145.tar.gz,CC BY-NC
PMC6989136,32064346,10.1126/sciadv.aay2939,2020.0,Retinoid X receptor alpha is a spatiotemporally predominant therapeutic target for anthracycline-induced cardiotoxicity.,Science advances,CardioMetabolic,oa_package/ad/0e/PMC6989136.tar.gz,CC BY-NC
PMC12103095,40286376,10.1016/j.jacadv.2025.101720,2025.0,Neighborhood Socioeconomic Deprivation and Outcomes Following Heart Allograft Transplantation in Adults With Congenital Heart Disease.,JACC. Advances,CardioMetabolic,oa_package/08/ed/PMC12103095.tar.gz,CC BY-NC-ND
PMC6402070,30858966,10.1177/2042018819833304,2019.0,Sex-related differences in frailty factors in older persons with type 2 diabetes: a cross-sectional study.,Therapeutic advances in endocrinology and metabolism,CardioMetabolic,oa_package/a7/0f/PMC6402070.tar.gz,CC BY-NC
PMC7559747,33054741,10.1186/s12889-020-09658-6,2020.0,"Targeting family functioning, acculturative stress, and sugar-sweetened beverage consumption for obesity prevention: findings from the Hispanic community children's health study/study of Latino youth.",BMC public health,CardioMetabolic,oa_package/de/28/PMC7559747.tar.gz,CC BY
PMC12292685,40722717,10.3390/biomedicines13071645,2025.0,Effects of Ellagic Acid on Myocardial Contractility in Isolated and Perfused Rat Hearts.,Biomedicines,CardioMetabolic,oa_package/6a/58/PMC12292685.tar.gz,CC BY
PMC12283336,40704304,10.3389/fnut.2025.1599851,2025.0,Identification of optimal cutoffs for obesity and lipid-related indices in screening activities of daily living disability in Chinese middle-aged and elderly adults.,Frontiers in nutrition,CardioMetabolic,oa_package/5a/8f/PMC12283336.tar.gz,CC BY
PMC11968003,40168154,10.1167/iovs.66.4.2,2025.0,Volumetric Measures of Capillary Nonperfusion on Optical Coherence Tomography Angiography Detect Early Ischemia in Diabetes Without Retinopathy.,Investigative ophthalmology & visual science,CardioMetabolic,oa_package/d6/ac/PMC11968003.tar.gz,CC BY-NC-ND
PMC8050026,33889482,10.1016/j.pmedr.2021.101347,2021.0,Effectiveness of programs aimed at obesity prevention among Indigenous children: A systematic review.,Preventive medicine reports,CardioMetabolic,oa_package/1b/46/PMC8050026.tar.gz,CC BY-NC-ND
PMC8558202,33966249,10.1007/s12013-021-00983-0,2021.0,Abdominal Massage Alleviates Skeletal Muscle Insulin Resistance by Regulating the AMPK/SIRT1/PGC-1α Signaling Pathway.,Cell biochemistry and biophysics,CardioMetabolic,oa_package/8d/c7/PMC8558202.tar.gz,CC BY
PMC6730871,31491037,10.1371/journal.pone.0222236,2019.0,Association between heart rate recovery after exercise and renal function in patients referred for treadmill exercise test.,PloS one,CardioMetabolic,oa_package/4a/a7/PMC6730871.tar.gz,CC BY
PMC6400313,30847259,10.1038/s41551-018-0282-2,2018.0,Personalized virtual-heart technology for guiding the ablation of infarct-related ventricular tachycardia.,Nature biomedical engineering,CardioMetabolic,oa_package/20/95/PMC6400313.tar.gz,NO-CC CODE
PMC6093143,30128147,10.1177/2048004018772237,2018.0,Magnetic resonance imaging: Physics basics for the cardiologist.,JRSM cardiovascular disease,CardioMetabolic,oa_package/16/a8/PMC6093143.tar.gz,CC BY-NC
PMC5908938,29674554,10.1128/genomeA.00308-18,2018.0,"Draft Genome Sequence of Pseudomonas sp. Strain LLC-1 (NBRC 111237), Capable of Metabolizing Lignin-Derived Low-Molecular-Weight Compounds.",Genome announcements,CardioMetabolic,oa_package/c1/91/PMC5908938.tar.gz,CC BY
PMC8621589,34828570,10.3390/healthcare9111525,2021.0,Mineral Balance and Metabolic Syndrome in Adolescents: Focus on Calcium and Phosphorus Intake.,"Healthcare (Basel, Switzerland)",CardioMetabolic,oa_package/84/d1/PMC8621589.tar.gz,CC BY
PMC11818908,39941104,10.3390/ijms26031337,2025.0,"A Comparative Study of Common Anesthetics Propofol, Sevoflurane, Isoflurane and Ketamine on Lipid Membrane Fluidity.",International journal of molecular sciences,CardioMetabolic,oa_package/56/8b/PMC11818908.tar.gz,CC BY
PMC12085305,40385730,10.7759/cureus.82437,2025.0,Predicting 30-Day Hospital Readmission in Patients With Diabetes Using Machine Learning on Electronic Health Record Data.,Cureus,CardioMetabolic,oa_package/f1/95/PMC12085305.tar.gz,CC BY
PMC9682679,36414992,10.1186/s13036-022-00310-y,2022.0,Development of a novel defined minimal medium for Gluconobacter oxydans 621H by systematic investigation of metabolic demands.,Journal of biological engineering,CardioMetabolic,oa_package/56/24/PMC9682679.tar.gz,CC BY
PMC12096714,40399813,10.1186/s12872-025-04807-4,2025.0,"Trends in the global, regional, and national burden of cardiovascular diseases attributed to high systolic blood pressure from 1990 to 2021 and projections to 2045: a systematic analysis based on GBD 2021 data.",BMC cardiovascular disorders,CardioMetabolic,oa_package/ed/92/PMC12096714.tar.gz,CC BY-NC-ND
PMC9218627,35755426,10.3389/fphys.2022.925292,2022.0,Autoregulation of Cerebral Blood Flow During 3-h Continuous Cardiopulmonary Resuscitation at 27°C.,Frontiers in physiology,CardioMetabolic,oa_package/2a/b3/PMC9218627.tar.gz,CC BY
PMC7662015,33192850,10.3389/fpsyg.2020.567449,2020.0,Child Well-Being in Times of Confinement: The Impact of Dialogic Literary Gatherings Transferred to Homes.,Frontiers in psychology,CardioMetabolic,oa_package/7b/b9/PMC7662015.tar.gz,CC BY
PMC8255664,34234721,10.3389/fpsyg.2021.683008,2021.0,Improving Parenting Practices Among Fathers Who Misuse Opioids: Fathering Through Change Intervention.,Frontiers in psychology,CardioMetabolic,oa_package/09/db/PMC8255664.tar.gz,CC BY
PMC8859641,35252873,10.34133/2022/9783602,2022.0,Site-Specific Photochemical Reaction for Improved C=C Location Analysis of Unsaturated Lipids by Ultraviolet Photodissociation.,"Research (Washington, D.C.)",CardioMetabolic,oa_package/85/a7/PMC8859641.tar.gz,CC BY
PMC10094435,37063801,10.1039/d2sc06718h,2023.0,Lipid-linked nucleoside triphosphates for enzymatic synthesis of hydrophobic oligonucleotides with enhanced membrane anchoring efficiency.,Chemical science,CardioMetabolic,oa_package/ad/4e/PMC10094435.tar.gz,CC BY
PMC12019697,40152361,10.1002/jcla.70029,2025.0,Predictive Effect of FT3 Within the Euthyroid Range on HDL-C in Patients With Type 2 Diabetes: A Cross-Sectional Analysis of Inpatients in China.,Journal of clinical laboratory analysis,CardioMetabolic,oa_package/5a/1a/PMC12019697.tar.gz,CC BY
PMC9311985,35883859,10.3390/antiox11071369,2022.0,Hydrogen Sulfide Regulates Irisin and Glucose Metabolism in Myotubes and Muscle of HFD-Fed Diabetic Mice.,"Antioxidants (Basel, Switzerland)",CardioMetabolic,oa_package/a2/f8/PMC9311985.tar.gz,CC BY
PMC10689916,38045440,10.1093/ehjdh/ztad056,2023.0,Machine learning-based biomarker profile derived from 4210 serially measured proteins predicts clinical outcome of patients with heart failure.,European heart journal. Digital health,CardioMetabolic,oa_package/35/ee/PMC10689916.tar.gz,CC BY-NC
PMC10079078,37033660,10.3389/fphar.2023.1122615,2023.0,Multi-omics reveals hypertrophy of adipose tissue and lipid metabolism disorder via mitochondria in young mice under real-ambient exposure to air pollution.,Frontiers in pharmacology,CardioMetabolic,oa_package/78/e7/PMC10079078.tar.gz,CC BY
PMC6011850,29942333,10.22122/arya.v14i1.1664,2018.0,The relationship between serum vitamin D levels and ankle-brachial index in patients with metabolic syndrome.,ARYA atherosclerosis,CardioMetabolic,oa_package/95/43/PMC6011850.tar.gz,CC BY-NC
PMC6896811,31826155,10.1590/1518-8345.2961.3210,2019.0,Health-related quality of life of adolescents with type 1 diabetes mellitus.,Revista latino-americana de enfermagem,CardioMetabolic,oa_package/42/f0/PMC6896811.tar.gz,CC BY
PMC11268430,37499857,10.1016/j.preteyeres.2023.101206,2023.0,Optical coherence tomography angiography in diabetic retinopathy.,Progress in retinal and eye research,CardioMetabolic,oa_package/58/fa/PMC11268430.tar.gz,CC BY
PMC11418258,39305272,10.1080/19490976.2024.2404141,2024.0,A new perspective in intestinal microecology: lifting the veil of exercise regulation of cardiometabolic diseases.,Gut microbes,CardioMetabolic,oa_package/d9/a9/PMC11418258.tar.gz,CC BY-NC
PMC11697753,39754172,10.1186/s12937-024-01070-9,2025.0,Association between dietary patterns and chronic kidney disease in elderly patients with type 2 diabetes: a community-based cross-sectional study.,Nutrition journal,CardioMetabolic,oa_package/20/77/PMC11697753.tar.gz,CC BY-NC-ND
PMC8745440,35009000,10.3390/ijms23010572,2022.0,The Heat Stress Transcription Factor LlHsfA4 Enhanced Basic Thermotolerance through Regulating ROS Metabolism in Lilies (Lilium Longiflorum).,International journal of molecular sciences,CardioMetabolic,oa_package/2d/c8/PMC8745440.tar.gz,CC BY
PMC9451591,36128416,10.14740/cr1387,2022.0,Update on Wearable Cardioverter Defibrillator: A Comprehensive Review of Literature.,Cardiology research,CardioMetabolic,oa_package/df/14/PMC9451591.tar.gz,CC BY-NC
PMC9529390,34853213,10.5551/jat.63221,2021.0,High Human Antimicrobial Peptide LL-37 Level Predicts Lower Major Adverse Cardiovascular Events after an Acute ST-Segment Elevation Myocardial Infarction.,Journal of atherosclerosis and thrombosis,CardioMetabolic,oa_package/cb/0e/PMC9529390.tar.gz,CC BY-NC-SA
PMC12239830,40641858,10.14740/jocmr6250,2025.0,"The Long-Term Effects of the Selective Inhibitor of Urate Transporter 1, Dotinurad, on Metabolic Parameters and Renal Function in Japanese Patients With Asymptomatic Hyperuricemia.",Journal of clinical medicine research,CardioMetabolic,oa_package/5b/9c/PMC12239830.tar.gz,CC BY-NC
PMC7021648,31880340,10.1002/clc.23321,2019.0,Heart failure with preserved ejection fraction: New approaches to diagnosis and management.,Clinical cardiology,CardioMetabolic,oa_package/18/ca/PMC7021648.tar.gz,CC BY
