 cluster_id                cluster_label
        108           biochemical assays
        109                       sepsis
        110                 epidemiology
        111                proliferation
        112          infectious diseases
        113           plant reproduction
        114       genomewide association
        115            diabetes mellitus
        116                    cirrhosis
        117                  engineering
        118          cancer therapeutics
        119          social determinants
        120         ischemia reperfusion
        121            plant polyphenols
        122       immunotherapy vaccines
        123             cancer signaling
        124                  statistical
        125     postoperative management
        126                brain imaging
        127    neurodegenerative disease
        128          cognitive processes
        129               bioinformatics
        130             genomic variants
        131                          roc
        132              gene expression
        133                     microrna
        134                nucleic acids
        135               motor function
        136              risk prediction
        137                 immunoassays
        138                   proteomics
        139               gut microbiota
        140                    signaling
        141         healthcare workforce
        142            genome sequencing
        143         microbiome diversity
        144                        icd11
        145           neural stimulation
        146         statistical modeling
        147            epidemic modeling
        148                deep learning
        149                    micrornas
        150           tissue engineering
        151            polymer materials
        152                 demographics
        153       hemodynamic monitoring
        154                bibliometrics
        155        microbial cultivation
        156            reported outcomes
        157                     implants
        158       psychological distress
        159                   analytical
        160         comparative genomics
        161            molecular cloning
        162                       ethics
        163                 neurogenesis
        164       biodegradable polymers
        165                  statistical
        166          commercial reagents
        167                 nanomedicine
        168               immunostaining
        169           glucose monitoring
        170        child psychopathology
        171            laboratory assays
        172         health communication
        173                  statistical
        174          clinical biomarkers
        175            drug nanocarriers
        176           orthopedic surgery
        177              central nervous
        178               cardiac arrest
        179                heart failure
        180                      obesity
        181                green finance
        182              diabetic kidney
        183              dna methylation
        184               genome editing
        185            cortical networks
        186                   quality of
        187                            t
        188                    neoplasms
        189             plant regulation
        190             infection models
        191                         mrna
        192            electrophysiology
        193                    mechanics
        194            organic compounds
        195              pharmacotherapy
        196                     biofilms
        197                  genome wide
        198                 skin lesions
        199                    signaling
        200         health communication
        201                    viability
        202              genome assembly
        203                      covid19
        204            lung inflammation
        205             lipid metabolism
        206            clinical criteria
        207             tumor immunology
        208                   hematology
        209             dental materials
        210                        sleep
        211                  statistical
        212                       immune
        213              neurophysiology
        214       cardiovascular disease
        215                      covid19
        216                       cancer
        217                      covid19
        218             informed consent
        219     antimicrobial resistance
        220           microscopy imaging
        221                     glaucoma
        222                    body mass
        223       cardiovascular disease
        224             covid19 lockdown
        225           chemical synthesis
        226                       models
        227                   structural
        228       postoperative outcomes
        229   gastrointestinal disorders
        230                   muscle mri
        231            genome sequencing
        232              dna methylation
        233               cancer surgery
        234      education interventions
        235        scientific publishing
        236             mesenchymal stem
        237       tuberculosis diagnosis
        238            motor performance
        239               flow cytometry
        240                  statistical
        241                rna secondary
        242       cognitive neuroscience
        243                      obesity
        244                nanomaterials
        245                    microglia
        246          fluorescence images
        247                 inflammation
        248                    pregnancy
        249                   biosensors
        250                      rt qpcr
        251                  neural stem
        252                  statistical
        253                  statistical
        254        microbial diagnostics
        255                   caregiving
        256                     leukemia
        257              medical imaging
        258            alzheimer disease
        259                      covid19
        260            concrete mixtures
        261                mental health
        262                   analytical
        263                  time series
        264      endotracheal intubation
        265      cerebral autoregulation
        266                  statistical
        267                     behavior
        268           brain connectivity
        269              cancer survival
        270                        aging
        271                      culture
        272        microbial communities
        273       biospecimen processing
        274           clinical education
        275            immune regulation
        276       neurological disorders
        277              research design
        278                     covid-19
        279             protein analysis
        280              water treatment
        281            immune regulation
        282               health program
        283                 telemedicine
        284                      anatomy
        285           physical chemistry
        286              cancer genetics
        287                    microbial
        288                   sars-cov-2
        289                     sars cov
        290                     clinical
        291                  vaccination
        292                  statistical
        293            diabetes mellitus
        294                       cohort
        295                 epidemiology
        296           child psychosocial
        297                   anesthesia
        298              gene expression
        299             machine learning
        300   materials characterization
        301                 inflammation
        302           mortality outcomes
        303              cancer genomics
        304                   dna damage
        305                    micrornas
        306             trajectory error
        307                      culture
        308     antimicrobial resistance
        309            polymer hydrogels
        310    healthcare implementation
        311                   dna repair
        312             health economics
        313        prognostic biomarkers
        314                  statistical
        315                   microbiome
        316                    ire1 xbp1
        317              decision making
        318                 pharmacology
        319         neuronal development
        320        secondary metabolites
        321                      ecology
        322                      culture
        323                      network
        324                    apoptosis
        325         microbial metabolism
        326             nmr spectroscopy
        327                  bone tumors
        328     clinical characteristics
        329             informed consent
        330          cancer chemotherapy
        331              gene expression
        332        cancer classification
        333                       type 2
        334                      poultry
        335             body composition
        336             health economics
        337             cancer diagnosis
        338                nanoparticles
        339        genetic polymorphisms
        340              cheminformatics
        341              gene expression
        342             fungal pathogens
        343                      qrt pcr
        344             genetic variants
        345              medical imaging
        346                public health
        347             neurostimulation
        348   reproductive endocrinology
        349                deep learning
        350   cardiopulmonary monitoring
        351              drug mechanisms
        352            systematic review
        353                     taxonomy
        354                      editing
        355          infectious diseases
        356         cardiac hemodynamics
        357              gene expression
        358 neurodevelopmental disorders
        359            healthcare access
        360                   sars-cov-2
        361            cancer biomarkers
        362              antibody titers
        363               cancer imaging
        364                  drug dosing
        365             cancer treatment
        366                 drug effects
        367              gene expression
        368         research methodology
        369                  cancer care
        370         statistical modeling
        371                 hemodynamics
        372                deep learning
        373                  vaccination
        374           stress epigenetics
        375         research methodology
        376                 antioxidants
        377                metamaterials
        378              bone remodeling
        379                       cancer
        380           survey methodology
        381     epidemiological modeling
        382                  conflict of
        383                 drug adverse
        384          disaster management
        385                    apoptosis
        386                 neuroscience
        387             health economics
        388                 neuroscience
        389             visual attention
        390                      covid19
        391                    nutrition
        392                spectroscopic
        393                 inflammation
        394                 inflammation
        395        healthcare leadership
        396       construction materials
        397                mental health
        398             network security
        399       bacterial pathogenesis
        400               kidney disease
        401        antimicrobial therapy
        402            cerebral ischemia
        403                phylogenetics
        404          infectious diseases
        405           dna nanotechnology
        406         healthcare workforce
        407                   virus host
        408      microglial inflammation
        409                   cytosponge
        410       electroencephalography
        411          clinical management
        412          veterinary medicine
        413       neurological disorders
        414                drug delivery
        415             spinal disorders
        416             immune responses
        417              aquatic ecology
        418                   lipidomics
        419            somatic mutations
        420              clinical design
        421              neuronal firing
        422           tissue engineering
        423               dietary intake
        424                 neurosurgery
        425               gut microbiota
        426             covid19 pandemic
        427          infectious diseases
        428        technology acceptance
        429          surgical procedures
        430      agricultural entomology
        431                  t signaling
        432      supplementary materials
        433                mental health
        434             genetic variants
        435   neuropsychiatric disorders
        436       mitochondrial function
        437          genetic association
        438           perinatal outcomes
        439                    screening
        440             lipid metabolism
        441             plant physiology
        442                 plant stress
        443            hormone signaling
        444                            t
        445         occupational burnout
        446            organic synthesis
        447         livestock production
        448          covid19 vaccination
        449              memory circuits
        450                 child health
        451                    csf serum
        452               digital health
        453          surgical techniques
        454                   cardiology
        455                 neuroscience
        456                   antibodies
        457       cardiovascular disease
        458           energy interaction
        459          clinical statistics
        460                      culture
        461                       models
        462            physical activity
        463               plant genomics
        464            antifungal agents
        465             food consumption
        466                visualization
        467         diabetic nephropathy
        468                   sars-cov-2
        469                hiv infection
        470             machine learning
        471          infectious diseases
        472                         pain
        473              rodent handling
        474                global health
        475         cancer immunotherapy
        476       sars-cov-2 diagnostics
        477                       lncrna
        478              crop physiology
        479            mass spectrometry
        480                   dna damage
        481               climate change
        482             oxidative stress
        483                   analytical
        484            molecular cloning
        485               histopathology
        486          autoimmune diseases
        487                          roc
        488                  oral cavity
        489                            p
        490                 inflammation
        491                         tcga
        492             pain measurement
        493         parasitic infections
        494                  vaccination
        495                 virus assays
        496                 tumor models
        497                  statistical
        498                      culture
        499            stent endothelium
        500            cancer metastasis
        501               structural mri
        502                  vaccination
        503          surgical techniques
        504              genetic testing
        505                     virology
        506            hypoxia signaling
        507              cancer genomics
        508         cancer immunotherapy
        509              genome assembly
        510               software tools
        511                hiv infection
        512           locomotor function
        513          cancer therapeutics
        514              traumatic brain
        515         epigenetic addiction
        516         psychosocial factors
        517               plant genomics
        518                      covid19
        519  antimicrobial nanoparticles
        520            genetic disorders
        521         statistical modeling
        522             lipid metabolism
        523            organic synthesis
        524                       lncrna
        525                nanomaterials
        526           pregnancy outcomes
        527           metabolic syndrome
        528                  statistical
        529               dietary intake
        530          pattern recognition
        531                      covid19
        532            visual perception
        533      optimization algorithms
        534       computational genomics
        535          cancer chemotherapy
        536          infectious diseases
        537               fluid dynamics
        538                 neuroscience
        539                  correlation
        540              neuroprotection
        541       neurological disorders
        542             pharmacokinetics
        543               plant genomics
        544                       glioma
        545              medical imaging
        546            surgical outcomes
        547              medical imaging
        548              gene expression
        549     hepatocellular carcinoma
        550              genome assembly
        551              differentiation
        552              drug resistance
        553                    histology
        554                abbreviations
        555     antimicrobial resistance
        556               rehabilitation
        557                 exosomal rna
        558                      network
        559           metabolic pathways
        560                 measurements
        561                 neuroimaging
        562     antimicrobial resistance
        563            nanoparticle drug
        564                   crop yield
        565                   geospatial
        566              maternal health
        567             machine learning
        568                  measurement
        569               rna sequencing
        570              medical imaging
        571              risk prediction
        572              pressure injury
        573                        elisa
        574                 risk scoring
        575                  methodology
        576                   microbiome
        577                 demographics
        578   musculoskeletal assessment
        579                  statistical
        580      electrochemical sensors
        581                  statistical
        582               cancer biology
        583               otolaryngology
        584                   caregiving
        585                      covid19
        586                air pollution
        587              research ethics
        588          population genetics
        589              medical imaging
        590            clinical research
        591   materials characterization
        592                      culture
        593             histomorphometry
        594                drug delivery
        595        peripheral neuropathy
        596      anticancer cytotoxicity
        597                  statistical
        598   pediatric neuroenhancement
        599           neuronal signaling
        600      electrochemical sensors
        601           orthopedic surgery
        602             machine learning
        603             overall survival
        604              gene expression
        605         pharmaceutical drugs
        606                immunotherapy
        607           cost effectiveness
        608             respiratory care
        609      psychological disorders
        610               cancer therapy
        611         comparative genomics
        612              gene expression
